City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vorsma,55.9856,43.2717,7.91,83,52,8.94,RU,1699842193
83,holualoa,19.6228,-155.9522,25.91,79,40,4.63,US,1699842056
84,campbellton,48.0075,-66.6727,-1.75,83,9,2.45,CA,1699842193
85,angaur state,6.906,134.13,29.17,75,86,5.26,PW,1699841686
86,jamestown,42.097,-79.2353,2.8,74,0,2.57,US,1699842102
87,thompson,55.7435,-97.8558,-1.91,100,100,0.0,CA,1699842172
88,kalevala,65.2,31.1667,-4.95,93,100,3.58,RU,1699842193
89,zaozersk,69.4005,32.4476,-11.43,96,99,3.45,RU,1699842043
90,siasi,5.5462,120.8145,28.08,77,0,1.92,PH,1699842194
91,sakaiminato,35.55,133.2333,6.96,100,75,5.14,JP,1699842194
92,sodra sandby,56.5667,16.6167,3.83,91,62,4.05,SE,1699841694
93,kalaleh,37.3807,55.4916,12.78,76,0,0.0,IR,1699842194
94,nsanje,-16.92,35.262,23.37,58,0,1.8,MW,1699842195
95,remire-montjoly,4.9167,-52.2667,27.29,83,1,5.35,GF,1699842195
96,puerto varas,-41.3195,-72.9854,4.12,93,20,0.0,CL,1699842195
97,antsiranana,-12.2787,49.2917,24.58,80,24,5.88,MG,1699842060
98,awgu,6.0742,7.4786,23.77,95,100,1.59,NG,1699842195
99,udachny,66.4167,112.4,-13.08,92,100,3.37,RU,1699842037
100,iskateley,67.6803,53.1512,-11.66,94,43,2.24,RU,1699842022
101,monastyryshche,48.9909,29.8047,5.46,79,100,5.74,UA,1699842196
102,luang namtha,20.9497,101.4011,23.01,94,100,1.03,LA,1699842196
103,simanggang,1.2472,111.4528,28.99,84,20,1.54,MY,1699842196
104,kizel,59.0471,57.6477,1.8,100,100,1.34,RU,1699842177
105,afaahiti,-17.75,-149.2833,26.93,80,54,4.03,PF,1699842042
106,kannur,11.8675,75.3576,24.02,76,99,2.62,IN,1699842196
107,olonkinbyen,70.9221,-8.7187,-3.29,67,100,2.21,SJ,1699842197
108,sampit,-2.5333,112.95,26.7,89,100,0.28,ID,1699842197
109,carauari,-4.8828,-66.8958,26.91,74,57,0.21,BR,1699842197
110,kalmunai,7.4167,81.8167,25.48,88,99,3.88,LK,1699842038
111,korla,41.7597,86.1469,4.14,65,87,1.89,CN,1699842197
112,tommot,58.9564,126.2925,-11.84,91,100,4.13,RU,1699842197
113,invercargill,-46.4,168.35,12.23,91,100,3.58,NZ,1699842197
114,ancud,-41.8697,-73.8203,7.85,78,84,4.38,CL,1699842198
115,gwaram,11.2764,9.8858,21.19,26,99,2.72,NG,1699842198
116,qaqortoq,60.7167,-46.0333,-8.37,90,27,0.55,GL,1699842198
117,starobaltachevo,56.0013,55.9213,2.41,80,100,5.52,RU,1699841963
118,scottburgh,-30.2867,30.7532,17.71,77,100,2.32,ZA,1699841956
119,olinda,-8.0089,-34.8553,26.85,69,20,2.57,BR,1699841730
120,fabens,31.5023,-106.1586,16.43,51,70,5.95,US,1699842199
121,kisangani,0.5167,25.2,20.11,97,100,0.6,CD,1699842006
122,coahuayana de hidalgo,18.7,-103.6583,25.96,88,59,0.74,MX,1699842199
123,shiguai,40.7058,110.2856,-3.17,29,100,1.1,CN,1699842199
124,college,64.8569,-147.8028,-11.03,85,40,2.57,US,1699842199
125,anloga,5.7947,0.8973,27.49,81,6,4.61,GH,1699842199
126,bamboo flat,11.7,92.7167,25.05,88,100,1.03,IN,1699842049
127,isafjordur,66.0755,-23.124,1.61,83,100,2.04,IS,1699842200
128,lapeer,43.0514,-83.3188,6.0,70,100,2.06,US,1699842200
129,lobujya,27.95,86.8167,-8.8,32,0,0.83,NP,1699842200
130,enewetak,11.3474,162.3373,27.14,84,100,6.91,MH,1699842051
131,gizo,-8.103,156.8419,27.7,75,61,5.35,SB,1699842200
132,mogilno,52.6581,17.9558,7.78,92,100,4.47,PL,1699842201
133,hami,42.8,93.45,4.08,27,83,1.25,CN,1699842201
134,queenstown,-31.8976,26.8753,7.2,92,1,0.83,ZA,1699841710
135,bel ombre,-4.6167,55.4167,26.91,83,20,1.54,SC,1699842201
136,utrik,11.2278,169.8474,28.06,81,100,8.45,MH,1699842042
137,quellon,-43.1167,-73.6167,7.85,78,100,4.42,CL,1699842201
138,newman,37.3138,-121.0208,18.49,33,91,2.97,US,1699842201
139,acajutla,13.5928,-89.8275,26.95,80,56,2.31,SV,1699842201
140,east london,-33.0153,27.9116,14.88,68,56,4.09,ZA,1699842202
141,divnoye,45.9089,43.3547,11.99,65,100,3.42,RU,1699842102
142,popondetta,-8.7537,148.2534,32.36,47,69,3.04,PG,1699842202
143,samus',56.7475,84.6992,2.91,99,100,1.86,RU,1699842202
144,haiku-pauwela,20.9219,-156.3051,26.01,74,20,10.29,US,1699842202
145,parfino,57.9731,31.6481,2.31,99,100,2.19,RU,1699842202
146,namtsy,62.7161,129.6658,-16.18,92,78,4.04,RU,1699842202
147,labrador city,52.9463,-66.9114,-8.05,86,100,4.63,CA,1699842202
148,kupang,-10.1667,123.5833,32.32,66,40,2.57,ID,1699842203
149,muang phonsavan,19.45,103.2167,21.5,75,57,1.82,LA,1699842203
150,sao jose da coroa grande,-8.8978,-35.1478,23.75,77,5,1.89,BR,1699842203
151,itamaraca,-7.7478,-34.8256,27.03,76,2,2.37,BR,1699842110
152,northam,51.0333,-4.2167,16.48,97,100,8.36,GB,1699842203
153,gigant,46.5066,41.3419,13.05,73,100,4.3,RU,1699842204
154,devils lake,48.1128,-98.8651,5.99,65,0,6.17,US,1699842205
155,lihue,21.9789,-159.3672,28.58,75,75,8.75,US,1699841999
156,el bolson,-41.9667,-71.5167,0.43,99,29,2.81,AR,1699842205
157,dolores,-36.3132,-57.6792,10.18,71,65,3.42,AR,1699841711
158,minas de marcona,-15.2119,-75.1103,14.57,92,90,5.56,PE,1699842206
159,kapit,2.0167,112.9333,25.55,91,99,0.19,MY,1699842206
160,ruidoso,33.3317,-105.673,7.51,94,0,0.0,US,1699842206
161,nova vicosa,-17.8919,-39.3719,24.66,82,1,7.31,BR,1699842206
162,las lomitas,-24.7096,-60.593,30.28,53,99,1.82,AR,1699842207
163,ferkessedougou,9.6,-5.2,24.68,55,7,0.89,CI,1699842207
164,prainha,-1.8,-53.48,28.51,54,26,2.29,BR,1699842207
165,hugo,45.16,-92.9933,10.79,58,0,0.89,US,1699842207
166,roma,43.2128,-75.4557,-0.19,86,0,0.0,US,1699842207
167,kegeyli shahar,42.7767,59.6078,2.05,59,0,4.79,UZ,1699842207
168,moldova noua,44.7375,21.6669,3.35,67,56,1.82,RO,1699842208
169,bovalino,38.149,16.174,19.63,76,27,5.08,IT,1699842208
170,sechura,-5.5569,-80.8222,21.24,77,0,6.96,PE,1699842208
171,san antonio de pale,-1.4014,5.6325,26.2,83,30,5.09,GQ,1699842208
172,cannonvale,-20.2833,148.7,27.66,54,0,5.79,AU,1699842208
173,khovd,48.0056,91.6419,-4.92,91,100,0.61,MN,1699841837
174,solleftea,63.1667,17.2667,-2.08,96,100,3.29,SE,1699842208
175,svetlyy yar,48.4748,44.781,11.78,82,100,5.08,RU,1699842209
176,vikulovo,56.8167,70.6107,2.49,92,100,2.16,RU,1699842209
177,kaa-khem,51.6833,94.7333,-13.66,82,100,0.06,RU,1699842209
178,port augusta,-32.5,137.7667,28.12,19,100,3.9,AU,1699842209
179,atafu village,-8.5421,-172.5159,29.24,68,62,1.13,TK,1699842209
180,marsabit,2.3284,37.9899,17.87,90,76,4.06,KE,1699842209
181,lucapa,-8.4192,20.7447,16.97,98,100,1.14,AO,1699842209
182,yutan,28.25,112.55,7.75,80,100,5.17,CN,1699842210
183,mount gambier,-37.8333,140.7667,18.58,42,34,4.3,AU,1699842210
184,pachino,36.7186,15.0907,19.15,82,100,8.01,IT,1699842210
185,opuwo,-18.0607,13.84,22.66,38,52,2.06,NA,1699842210
186,keminmaa,65.8596,24.8228,-9.13,92,100,3.09,FI,1699842210
187,hadibu,12.65,54.0333,26.6,83,60,5.94,YE,1699841606
188,marsh harbour,26.5412,-77.0636,25.64,64,15,4.19,BS,1699842211
189,hawaiian paradise park,19.5933,-154.9731,24.46,90,75,2.57,US,1699842211
190,tyrnyauz,43.3828,42.9183,7.29,79,55,4.53,RU,1699842211
191,st. john's,47.5649,-52.7093,-0.57,83,100,5.66,CA,1699842039
192,al kharijah,25.4514,30.5464,23.68,53,100,3.97,EG,1699842089
193,sultanah,24.4926,39.5857,25.25,22,20,2.06,SA,1699842211
194,bredasdorp,-34.5322,20.0403,12.77,88,29,0.39,ZA,1699842211
195,ketchikan,55.3422,-131.6461,6.99,61,0,3.6,US,1699842211
196,mumbwa,-14.9783,27.0619,20.89,70,35,2.2,ZM,1699842212
197,taoudenni,22.6783,-3.9836,25.04,20,2,5.76,ML,1699841709
198,ta`u,-14.2336,-169.5144,27.95,78,19,3.78,AS,1699841683
199,mimizan,44.2006,-1.2289,13.04,71,90,4.72,FR,1699842212
200,aberdeen,57.1437,-2.0981,8.44,96,100,7.2,GB,1699842212
201,smithers,54.7804,-127.1743,-0.82,100,100,0.0,CA,1699841417
202,larose,29.5724,-90.3818,20.01,92,100,4.5,US,1699842212
203,vigan,17.5747,120.3869,29.96,88,7,2.62,PH,1699842212
204,avarua,-21.2078,-159.775,24.03,60,100,3.09,CK,1699842212
205,zavoronezhskoye,52.8801,40.5526,7.24,79,100,10.32,RU,1699842213
206,bilibino,68.0546,166.4372,-14.46,97,100,2.45,RU,1699842045
207,jinchang,38.4953,102.1739,0.64,40,0,0.22,CN,1699842213
208,novodvinsk,64.4165,40.8122,-3.45,93,45,4.57,RU,1699842213
209,bardai,11.65,7.2333,21.24,25,28,3.75,NG,1699842213
210,bereket,39.2446,55.5154,13.2,49,87,6.43,TM,1699842213
211,ambodifotatra,-16.9833,49.85,24.6,72,28,0.88,MG,1699842213
212,mandalgovi,45.7625,106.2708,-4.24,28,38,2.66,MN,1699842214
213,vila velha,-20.3297,-40.2925,26.08,84,0,3.6,BR,1699842080
214,kingston,17.997,-76.7936,29.53,74,20,3.6,JM,1699842214
215,wakkanai,45.4094,141.6739,1.99,69,75,7.72,JP,1699842214
216,wailua homesteads,22.0669,-159.378,28.24,80,75,8.75,US,1699842214
217,klyuchi,52.2667,79.1667,4.38,85,99,5.01,RU,1699842036
218,extrema,-22.8547,-46.3183,23.67,50,100,1.77,BR,1699842214
219,pico truncado,-46.7949,-67.9573,10.45,36,0,10.01,AR,1699842214
220,barmer,25.75,71.3833,19.68,34,73,2.69,IN,1699842071
221,aswan,24.0934,32.907,26.43,62,87,2.16,EG,1699842215
222,belfast,54.5833,-5.9333,11.32,94,40,3.6,GB,1699842145
223,lospalos,-8.5186,127.0025,30.88,47,25,3.74,TL,1699842215
224,port saint john's,-31.6229,29.5448,16.03,72,0,3.48,ZA,1699842042
225,bayanhongor,46.7167,100.1167,-14.25,62,1,1.08,MN,1699842215
226,daru,-9.0763,143.2092,27.02,68,83,3.46,PG,1699842215
227,sarh,9.1429,18.3923,23.95,94,0,0.0,TD,1699842215
228,ahwa,20.75,73.6833,19.8,45,71,2.57,IN,1699842007
229,bikenibeu village,1.3673,173.1241,28.98,84,75,0.51,KI,1699842216
230,shache,38.4167,77.2406,4.37,31,11,0.58,CN,1699842216
231,lazaro cardenas,17.9583,-102.2,26.66,82,50,1.09,MX,1699842041
232,konarka,19.9,86.1167,24.22,73,61,4.46,IN,1699842216
233,gebeit,21.0667,36.3167,23.32,72,97,1.34,SD,1699842216
234,ko pha ngan,9.7578,100.0291,27.38,77,100,7.96,TH,1699842216
235,shimokizukuri,40.8061,140.3861,6.08,75,91,6.69,JP,1699842216
236,cabo san lucas,22.8909,-109.9124,27.64,66,20,3.6,MX,1699842135
237,quesnel,52.9999,-122.5029,6.28,49,100,3.6,CA,1699842217
238,dwarka,22.2394,68.9678,25.93,43,100,5.9,IN,1699842217
239,flying fish cove,-10.4217,105.6791,26.82,78,100,5.14,CX,1699841710
240,palmer,42.1584,-72.3287,0.47,77,0,0.0,US,1699842156
241,oyama,36.3,139.8,9.5,60,100,0.78,JP,1699842217
242,nar'yan-mar,67.6713,53.087,-11.61,94,43,2.24,RU,1699842217
243,tralee,52.2704,-9.7026,14.08,87,100,9.84,IE,1699842217
244,port alfred,-33.5906,26.891,13.43,88,70,0.45,ZA,1699842217
245,rondonopolis,-16.4708,-54.6356,31.09,32,66,1.68,BR,1699842217
246,west island,-12.1568,96.8225,27.99,78,75,5.14,CC,1699842049
247,hamilton,39.1834,-84.5333,8.88,68,0,0.89,US,1699841963
248,karasburg,-28.0167,18.75,17.56,26,0,3.24,NA,1699842218
249,nuuk,64.1835,-51.7216,-9.76,86,16,4.17,GL,1699842218
250,cestos city,5.46,-9.5828,26.09,87,100,3.39,LR,1699842218
251,bratsk,56.1325,101.6142,-5.73,76,96,1.77,RU,1699842218
252,inhambane,-23.865,35.3833,23.36,86,98,3.73,MZ,1699842218
253,gandiaye,14.2333,-16.2667,25.68,26,100,3.93,SN,1699842218
254,san juan,-31.5375,-68.5364,14.53,24,0,5.2,AR,1699842191
255,bom jesus,-9.0744,-44.3586,25.27,36,0,0.89,BR,1699842189
256,moyale,3.5167,39.0584,19.14,85,15,2.04,KE,1699842219
257,kavaratti,10.5669,72.642,27.94,73,73,1.86,IN,1699842219
258,uturoa,-16.7333,-151.4333,27.72,76,42,2.42,PF,1699842219
259,pathein,16.7833,94.7333,26.58,84,75,4.18,MM,1699842219
260,aasiaat,68.7098,-52.8699,-14.29,83,18,0.94,GL,1699842036
261,belomorsk,64.5232,34.7668,-1.48,77,98,6.23,RU,1699842219
262,pinehurst,35.1954,-79.4695,9.98,74,0,2.06,US,1699842136
263,igarka,67.4667,86.5833,-2.43,97,100,5.11,RU,1699842039
264,necochea,-38.5473,-58.7368,8.9,59,0,2.01,AR,1699842220
265,riedenburg,48.9667,11.6833,4.71,97,100,1.31,DE,1699842220
266,gobabis,-22.45,18.9667,23.63,40,100,5.4,NA,1699842220
267,vega de alatorre,20.0333,-96.6333,21.26,90,99,6.8,MX,1699841978
268,kailua-kona,19.6406,-155.9956,27.98,79,40,4.63,US,1699841988
269,murghob,38.1702,73.9667,-10.64,72,7,2.41,TJ,1699842220
270,alice springs,-23.7,133.8833,34.75,24,40,4.12,AU,1699842216
271,nuku'alofa,-21.1333,-175.2,21.19,94,100,6.17,TO,1699842221
272,palikir - national government center,6.9248,158.1611,30.47,74,100,1.54,FM,1699842221
273,vila franca do campo,37.7167,-25.4333,20.23,99,82,6.77,PT,1699841731
274,fujin,47.26,132.0322,-6.99,83,12,6.54,CN,1699842221
275,new norfolk,-42.7826,147.0587,20.4,35,25,3.6,AU,1699842221
276,palu,-0.8917,119.8707,29.14,78,100,0.3,ID,1699842190
277,san patricio,28.017,-97.5169,17.13,97,100,4.05,US,1699842221
278,pierre,44.3683,-100.351,10.15,53,0,2.24,US,1699842175
279,tayu,-6.5397,111.0518,30.22,64,36,2.7,ID,1699842221
280,fale old settlement,-9.3852,-171.2468,29.26,70,85,2.0,TK,1699842222
281,bodo,67.28,14.405,-1.79,61,0,8.75,NO,1699841722
282,la'ie,21.6477,-157.9253,28.98,74,34,4.47,US,1699842094
283,alvand,36.3187,49.1678,8.91,40,81,2.03,IR,1699842222
284,volkhov,59.9258,32.3382,1.86,96,100,4.47,RU,1699842222
285,isangel,-19.55,169.2667,23.06,88,75,4.63,VU,1699842222
286,sirte,31.2089,16.5887,21.14,68,0,2.22,LY,1699842222
287,skovorodino,53.9833,123.9167,-5.53,48,10,1.32,RU,1699842222
288,argostolion,38.1811,20.489,18.19,56,100,1.26,GR,1699842223
289,antanifotsy,-19.65,47.3167,14.67,89,94,1.51,MG,1699842223
290,singkil,-7.9855,111.4161,31.49,56,16,2.52,ID,1699842223
291,khilok,51.3674,110.4676,-5.58,67,80,1.27,RU,1699842223
292,kencong,-8.2833,113.3667,30.14,63,16,2.13,ID,1699842223
293,cudillero,43.5622,-6.1459,18.51,75,0,3.09,ES,1699842223
294,warrnambool,-38.3833,142.4833,20.19,56,5,5.27,AU,1699842178
295,lorengau,-2.0226,147.2712,29.37,65,34,1.94,PG,1699842081
296,paredon,16.0333,-93.8667,27.79,71,16,6.86,MX,1699842223
297,abbeville,50.1,1.8333,12.98,94,100,4.47,FR,1699842147
298,bhimunipatnam,17.8833,83.4333,24.73,70,81,3.58,IN,1699842224
299,choibalsan,48.0667,114.5,-6.88,78,1,4.86,MN,1699842224
300,hebi,35.8992,114.1925,6.56,44,100,4.0,CN,1699842224
301,lupane,-18.9315,27.807,20.76,33,5,2.61,ZW,1699842224
302,codrington,-38.2667,141.9667,16.61,51,7,5.97,AU,1699842224
303,kapa'a,22.0752,-159.319,28.99,80,75,8.75,US,1699842224
304,tshabong,-26.05,22.45,21.27,16,0,3.78,BW,1699842054
305,la ronge,55.1001,-105.2842,-0.86,80,0,2.57,CA,1699842225
306,badger,64.8,-147.5333,-11.07,87,40,2.57,US,1699842225
307,puerto armuelles,8.2833,-82.8667,27.27,84,100,3.13,PA,1699841538
308,borogontsy,62.6683,131.1683,-17.14,95,78,2.8,RU,1699842084
309,santa maria,-29.6842,-53.8069,20.5,98,91,3.41,BR,1699841772
310,thunder bay,48.4001,-89.3168,2.95,100,100,1.54,CA,1699841468
311,cole harbour,44.6724,-63.4751,0.52,86,62,0.89,CA,1699842225
312,nelson bay,-32.7167,152.15,22.22,65,88,3.13,AU,1699842225
313,champerico,14.3,-91.9167,28.01,79,7,1.47,GT,1699842225
314,marawi city,8.0,124.2833,26.84,67,30,1.66,PH,1699842226
315,tazovsky,67.4667,78.7,-9.84,94,73,6.2,RU,1699842226
316,nkhata bay,-11.6066,34.2907,25.24,71,90,1.12,MW,1699842226
317,kiunga,-6.1219,141.2906,33.58,47,33,1.06,PG,1699842226
318,bryne,58.7354,5.6477,5.55,93,75,1.03,NO,1699842226
319,port lincoln,-34.7333,135.8667,17.1,64,100,5.32,AU,1699841648
320,arraial do cabo,-22.9661,-42.0278,24.35,86,100,0.54,BR,1699842086
321,as sulayyil,20.4607,45.5779,18.14,47,7,3.42,SA,1699842227
322,broome,42.2506,-75.833,0.25,79,0,1.54,US,1699842227
323,mazamari,-11.3258,-74.5308,24.31,82,87,0.82,PE,1699842228
324,pimentel,-6.8367,-79.9342,21.16,78,0,8.23,PE,1699841728
325,valparaiso,-33.0393,-71.6273,12.8,66,75,2.06,CL,1699842229
326,puerto ayora,-0.7393,-90.3518,24.75,90,61,3.13,EC,1699842024
327,nova sintra,14.8667,-24.7167,23.57,67,71,2.53,CV,1699842229
328,fortuna,40.5982,-124.1573,13.85,75,0,0.0,US,1699842229
329,itaituba,-4.2761,-55.9836,28.41,55,24,0.61,BR,1699841971
330,wynyard,-41.0,145.7167,18.51,40,0,4.87,AU,1699841714
331,saipan,15.1355,145.701,31.39,70,20,8.75,MP,1699842037
332,pangody,65.85,74.4859,-9.52,88,13,7.24,RU,1699842120
333,huanren,41.2647,125.3667,-2.6,41,0,1.22,CN,1699842230
334,amos,48.5669,-78.1162,-5.16,90,22,3.3,CA,1699842230
335,laguna,38.421,-121.4238,18.38,55,0,2.06,US,1699842053
336,morehead city,34.7229,-76.726,12.77,84,100,6.69,US,1699841983
337,pontivy,48.0,-3.0,15.73,90,100,11.01,FR,1699842230
338,alofi,-19.0595,-169.9187,25.94,78,75,7.2,NU,1699842230
339,usinsk,65.9939,57.5281,-14.96,100,95,2.24,RU,1699842230
340,darab,28.7519,54.5444,14.59,28,81,1.19,IR,1699842230
341,namsos,64.4662,11.4957,-0.97,74,1,7.2,NO,1699842073
342,sao joao da barra,-21.6403,-41.0511,24.06,90,88,4.56,BR,1699842190
343,olmos,-5.9847,-79.7453,19.39,74,2,1.7,PE,1699842231
344,pervari,37.9357,42.5493,11.59,57,5,2.49,TR,1699842231
345,nishinoomote,30.7333,131.0,14.31,54,40,8.23,JP,1699842015
346,chernomorskoye,45.5039,32.6997,12.29,61,71,5.11,UA,1699842231
347,sosua,19.7667,-70.5167,24.95,94,20,0.0,DO,1699842231
348,naze,28.3667,129.4833,18.51,65,91,7.95,JP,1699842231
349,lamu,-2.2717,40.902,25.12,87,97,2.11,KE,1699841710
350,kishtwar,33.3167,75.7667,8.22,42,1,2.24,IN,1699842232
351,retreat,38.8245,-85.8533,6.28,61,0,2.5,US,1699842232
352,saint-louis,16.3333,-15.0,27.36,13,75,3.94,SN,1699842232
353,naryn,41.4287,75.9911,-6.45,78,6,3.4,KG,1699842232
354,barentu,15.1139,37.5928,23.46,57,18,1.17,ER,1699842232
355,linxia chengguanzhen,35.6003,103.2064,2.52,57,0,1.23,CN,1699842232
356,anadyr,64.75,177.4833,-1.72,92,75,5.0,RU,1699842043
357,rongelap,11.1635,166.8941,27.97,82,100,8.91,MH,1699841710
358,kaiapoi,-43.3783,172.6401,25.19,33,99,9.77,NZ,1699842233
359,peniche,39.3558,-9.3811,17.47,95,18,4.26,PT,1699842233
360,zahedan,29.4963,60.8629,5.95,70,0,2.06,IR,1699842233
361,kabalo,-6.05,26.9167,20.09,97,100,0.33,CD,1699842233
362,mstsislaw,54.0192,31.7257,2.89,96,100,8.33,BY,1699842233
363,beypore,11.1833,75.8167,23.58,78,20,2.57,IN,1699842049
364,yelovo,57.0538,54.9207,1.91,86,100,5.6,RU,1699842233
365,praia,14.9215,-23.5087,24.3,83,0,4.12,CV,1699842233
